LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11240,3788,729521.0,7168031.5,560.7,99.9,0.0,54806.40,262855.0,217399.8,164487.8,105265.0,55036.00,21754.00,6095.500,1100.250,208.5000,1.000000
1,11240,3792,729520.2,7168079.5,561.5,99.6,0.0,54839.75,263809.5,221947.8,169612.0,110585.0,58708.25,23510.25,6466.750,1112.750,181.0000,1.000000
1,11240,3796,729519.8,7168128.0,561.0,99.8,0.0,54855.12,265059.0,226354.2,174091.2,115611.5,62016.75,25069.00,6744.750,1131.750,158.7500,1.000000
1,11240,3800,729519.3,7168178.0,560.3,100.4,0.0,54858.45,266650.8,229206.2,178393.2,120367.2,65213.50,26246.25,6917.500,1136.250,138.0000,1.000000
1,11240,3804,729518.8,7168228.0,560.1,100.7,0.0,54863.60,268204.2,230399.2,182499.2,124954.5,68434.00,27242.25,6994.750,1103.250,115.7500,1.000000
1,11240,3808,729518.3,7168278.0,560.0,101.0,0.0,54872.38,268819.8,231102.8,185883.8,129137.0,71384.25,28139.75,7004.000,1042.500,88.50000,1.000000
1,11240,3812,729518.1,7168326.5,560.0,101.1,0.0,54877.92,267703.2,231701.2,188316.0,132484.2,73476.75,28563.25,6963.000,985.5000,57.75000,1.000000
1,11240,3816,729517.8,7168374.5,560.1,100.8,0.0,54865.17,266524.8,232264.5,190167.0,134694.5,74445.50,28409.50,6794.000,955.7500,40.00000,1.000000
1,11240,3820,729517.8,7168422.5,560.5,100.7,0.0,54845.40,266658.0,232997.2,190530.8,134123.0,73181.25,27421.75,6489.500,958.7500,36.25000,1.000000
1,11240,3824,729517.9,7168472.5,560.9,100.5,0.0,54835.45,267515.2,234086.8,189435.8,130994.2,69542.00,25409.50,6112.750,988.5000,43.25000,1.000000
1,11240,3828,729517.8,7168522.5,560.7,100.6,0.0,54839.68,268505.2,234955.8,187715.0,126985.5,65001.50,23002.25,5662.500,1037.000,64.25000,1.000000
1,11240,3832,729517.4,7168572.5,560.1,100.6,0.0,54857.40,269341.2,234173.2,184080.8,121409.5,59812.25,20537.00,5132.750,1087.500,90.00000,1.000000
1,11240,3836,729516.8,7168621.0,559.4,100.8,0.0,54875.20,269748.2,231814.5,177822.0,112960.5,53604.25,18055.50,4569.500,1053.500,112.0000,1.000000
1,11240,3840,729515.8,7168669.0,558.7,101.2,0.0,54885.90,269540.0,227673.8,169132.0,102176.8,46742.25,15607.75,4056.750,936.7500,128.5000,1.000000
1,11240,3844,729514.8,7168717.0,558.3,101.1,0.0,54892.10,266737.5,218565.5,155653.0,89514.75,39708.75,13335.50,3644.500,851.5000,143.0000,1.000000
1,11240,3848,729513.7,7168767.0,558.1,101.3,0.0,54893.77,257651.0,203065.0,138153.0,76149.50,33102.00,11412.75,3270.250,809.2500,157.7500,1.000000
1,11240,3852,729512.8,7168817.0,558.4,102.2,0.0,54891.10,245648.0,186233.8,121376.2,64531.25,27708.00,9821.250,2914.000,778.2500,159.5000,1.000000
1,11240,3856,729512.3,7168867.0,558.9,103.4,0.0,54884.93,236615.0,173785.8,109247.0,56341.00,24039.25,8714.500,2680.500,763.5000,149.5000,1.000000
1,11240,3860,729512.2,7168916.0,558.8,104.4,0.0,54876.45,230110.8,165049.0,101314.2,51005.75,21633.75,8071.500,2634.250,801.0000,159.2500,1.000000
1,11240,3864,729512.9,7168964.0,558.5,104.0,0.0,54866.77,223446.2,157399.2,94953.50,46913.00,19670.00,7685.750,2727.000,930.2500,226.2500,1.000000
1,11240,3868,729514.3,7169012.0,558.5,103.6,0.0,54856.77,215672.8,148960.8,88590.50,43314.50,18362.50,7589.500,2999.750,1204.750,335.5000,1.000000
1,11240,3872,729516.3,7169060.0,558.5,103.3,0.0,54847.05,208364.2,140634.0,82676.75,40794.50,18034.50,7821.000,3473.500,1721.750,513.0000,1.000000
1,11240,3876,729518.8,7169108.0,558.9,103.8,0.0,54838.42,204634.0,136359.5,80044.25,40482.75,18653.75,8423.000,4206.500,2379.500,889.2500,1.000000
1,11240,3880,729521.8,7169157.5,559.6,104.0,0.0,54831.00,207010.1,138116.1,82338.64,42253.63,19882.38,9057.385,4638.385,2394.135,691.8854,1.000000
1,11240,3884,729524.9,7169207.5,559.3,104.3,0.0,54823.98,211702.8,142495.2,86972.00,45218.25,21725.75,10148.25,5323.750,2559.250,612.5000,1.000000
1,11240,3888,729528.1,7169256.0,558.4,104.6,0.0,54817.38,211072.0,143129.0,88180.29,48393.54,23892.79,12020.29,6679.792,3473.042,1227.292,1.000000
1,11240,3892,729531.3,7169304.0,558.1,102.3,0.0,54812.27,201329.0,137450.7,85537.95,51105.44,27254.69,15432.44,9156.443,4981.195,1950.945,1.000000
1,11240,3896,729534.5,7169352.0,558.1,100.9,0.0,54808.10,187859.5,130212.0,84575.01,55492.01,34378.01,22228.76,14182.01,7914.007,2945.757,1.000000
1,11240,3900,729537.6,7169400.0,557.8,100.3,0.0,54804.15,181661.5,126492.5,87337.02,61937.53,43470.53,30702.28,20672.53,11904.28,4426.276,1.000000
1,11240,3904,729540.3,7169449.5,557.2,99.8,0.0,54800.75,180076.2,123405.2,88412.20,65217.20,48677.70,35925.95,24864.21,14526.46,5414.956,1.000000
1,11240,3908,729542.6,7169499.5,557.1,99.2,0.0,54797.40,177262.5,118374.8,85623.25,64691.50,49944.50,37808.50,26472.25,15516.25,5766.000,1.000000
1,11240,3912,729544.3,7169549.5,557.7,98.1,0.0,54793.45,173219.8,111987.8,80124.84,61773.59,49148.84,37845.59,26356.84,15299.09,5648.344,1.000000
1,11240,3916,729545.6,7169599.5,558.3,96.7,0.0,54789.40,170939.2,106695.0,73894.25,56417.50,45336.50,35030.25,24041.75,13764.75,5215.750,1.000000
1,11240,3920,729546.2,7169647.5,559.2,95.2,0.0,54785.38,173067.8,104600.8,67833.50,48215.75,36888.75,27755.25,19074.25,11312.50,4715.000,1.000000
1,11240,3924,729546.7,7169695.5,559.0,94.2,0.0,54781.92,176272.0,103776.7,60347.45,37101.95,24962.21,17630.46,12809.46,8485.955,3125.956,1.000000
1,11240,3928,729546.9,7169745.5,557.6,93.3,0.0,54779.28,177794.0,104428.5,55584.72,30110.72,18016.22,11826.72,9392.723,6527.473,595.9731,1.000000
1,11240,3932,729547.1,7169795.5,556.8,92.7,0.0,54776.05,182467.5,113273.8,66572.99,41903.74,28443.00,20040.50,14952.00,9618.995,2030.245,1.000000
1,11240,3936,729547.4,7169845.5,556.9,92.8,0.0,54773.45,188787.3,125417.6,85096.07,62668.82,47800.82,35932.32,25523.07,15636.07,6224.318,1.000000
1,11240,3940,729547.6,7169895.5,557.0,92.9,0.0,54775.57,190755.3,126014.4,88761.84,67781.09,53219.84,40561.34,28439.85,16916.10,6438.844,1.000000
1,11240,3944,729547.8,7169945.5,557.3,92.8,0.0,54786.38,191377.4,120522.4,82582.88,60720.12,46619.12,35032.38,24170.38,14105.88,4115.125,1.000000
1,11240,3948,729547.5,7169994.5,557.2,93.1,0.0,54795.38,195900.0,120853.5,79254.73,55081.98,40379.73,29123.73,19401.98,11101.23,3478.729,1.000000
1,11240,3952,729546.6,7170042.5,556.6,93.5,0.0,54807.55,200665.5,124534.2,79780.50,52882.50,35840.25,24128.25,14932.25,7785.250,2710.250,1.000000
1,11240,3956,729545.2,7170090.5,556.4,93.2,0.0,54822.80,204186.4,124305.6,80433.62,50752.12,31086.12,19383.62,11240.88,5371.625,1663.125,1.000000
1,11240,3960,729543.2,7170140.5,557.1,92.6,0.0,54833.07,199090.4,119132.9,76105.62,46100.38,25956.38,14986.38,8339.375,3947.625,1185.875,1.000000
1,11240,3964,729540.9,7170190.5,557.0,92.3,0.0,54835.85,184361.3,115023.6,70867.56,40269.31,21606.06,11682.56,6298.309,3187.309,1208.809,1.000000
1,11240,3968,729538.1,7170240.5,555.7,92.6,0.0,54831.82,183197.1,122860.9,73623.32,37657.57,18614.07,9361.318,4808.319,2476.820,1010.320,1.000000
1,11240,3972,729535.3,7170288.0,555.0,91.9,0.0,54820.10,208392.8,151249.3,93047.81,44376.56,18437.06,7864.310,3710.060,1774.310,709.8098,1.000000
1,11240,3976,729532.8,7170336.0,554.8,91.9,0.0,54803.58,248799.7,193513.2,127920.2,63031.43,22494.18,7431.177,2958.427,1304.427,536.1771,1.000000
1,11240,3980,729530.7,7170384.0,555.1,92.7,0.0,54787.88,284354.0,231143.5,160864.8,83183.75,28677.50,7640.250,2364.250,867.2500,325.5000,1.000000
1,11240,3984,729529.0,7170434.0,556.2,93.5,0.0,54776.35,299690.5,247616.8,175785.2,93899.25,33320.00,8064.750,2005.750,625.2500,213.7500,1.000000
1,11240,3988,729527.8,7170484.0,556.9,94.1,0.0,54775.92,290521.5,241162.2,172830.2,94595.00,34825.50,8367.500,1881.250,564.7500,174.7500,1.000000
1,11240,3992,729526.8,7170532.5,556.6,94.0,0.0,54783.45,275648.8,229095.0,166016.2,92021.75,34512.25,8367.750,1834.250,560.0000,152.7500,1.000000
1,11240,3996,729526.0,7170580.5,555.9,94.2,0.0,54788.07,272650.2,225269.2,163951.8,91263.00,33996.75,8161.750,1778.250,559.2500,140.2500,1.000000
1,11240,4000,729525.2,7170628.5,554.9,94.5,0.0,54783.77,275382.8,226581.5,164787.5,91935.75,33808.25,8074.250,1760.750,558.2500,138.7500,1.000000
1,11240,4004,729524.5,7170676.5,554.0,94.6,0.0,54771.25,277549.8,228618.0,166284.0,92746.50,33983.75,8384.000,1887.750,558.2500,145.0000,1.000000
1,11240,4008,729523.6,7170724.5,553.9,94.6,0.0,54763.95,278780.8,230587.2,167355.2,92713.00,34474.75,9014.250,2101.250,560.7500,154.7500,1.000000
1,11240,4012,729522.6,7170774.0,554.1,94.9,0.0,54763.25,281588.5,232681.5,167362.0,92000.00,35096.25,9740.250,2318.750,573.0000,169.0000,1.000000
1,11240,4016,729521.6,7170824.0,554.3,95.9,0.0,54765.15,285844.2,234617.0,166288.5,90811.25,35669.75,10507.00,2545.750,601.5000,192.0000,1.000000
1,11240,4020,729520.8,7170872.5,554.5,96.9,0.0,54768.15,286736.5,232739.2,162105.0,88281.25,35903.75,11334.50,2794.500,651.7500,216.2500,1.000000
1,11240,4024,729520.3,7170920.5,554.7,97.7,0.0,54768.85,279564.0,222755.8,153021.2,84051.00,35783.25,12130.50,3065.750,705.0000,230.5000,1.000000
1,11240,4028,729519.9,7170968.5,554.9,98.6,0.0,54765.68,268497.5,210641.2,143658.8,79828.00,35609.75,12619.00,3294.250,721.2500,227.7500,1.000000
1,11240,4032,729519.6,7171016.5,554.9,99.6,0.0,54760.98,264735.8,208853.5,143159.8,79879.00,36128.50,12916.25,3379.750,714.7500,206.2500,1.000000
1,11240,4036,729519.1,7171064.5,554.8,100.1,0.0,54756.12,268524.2,216951.5,151885.0,84715.25,37447.00,13175.25,3402.250,712.0000,190.5000,1.000000
1,11240,4040,729518.6,7171114.5,554.3,100.7,0.0,54752.95,269456.0,221627.8,158286.0,88292.00,37963.50,13103.75,3429.000,742.7500,196.0000,1.000000
1,11240,4044,729518.1,7171164.5,553.7,101.7,0.0,54751.92,259838.2,212825.8,152316.8,85420.75,36383.75,12509.00,3465.000,813.5000,204.7500,1.000000
1,11240,4048,729517.9,7171214.5,554.0,102.2,0.0,54756.52,244614.0,199593.2,142771.2,81761.50,35452.25,12408.25,3571.250,894.2500,206.7500,1.000000
1,11240,4052,729518.4,7171262.5,554.5,101.8,0.0,54769.48,243531.0,203664.2,150422.2,90499.75,40408.00,14722.75,3990.750,970.2500,196.7500,1.000000
1,11240,4056,729520.0,7171310.5,553.5,102.2,0.0,54794.65,252255.0,216605.8,166610.5,105619.2,49583.25,18499.00,4810.500,1045.750,187.7500,1.000000
1,11240,4060,729522.6,7171360.5,552.0,102.8,0.0,54832.00,257162.5,221397.2,171826.5,111234.5,54819.50,20268.75,5569.750,1128.000,175.7500,1.000000
1,11240,4064,729525.9,7171410.5,552.3,103.4,0.0,54867.98,256137.8,218179.0,168403.2,109430.0,55002.00,20549.00,5877.500,1212.000,154.2500,1.000000
1,11240,4068,729529.4,7171460.5,553.4,103.6,0.0,54895.73,252701.0,213092.8,163854.0,106873.5,54428.50,20650.00,5859.500,1242.750,117.0000,1.000000
1,11250,361,734932.4,7173389.5,566.6,98.2,0.0,54789.20,253494.5,177894.8,101663.5,45404.25,15680.75,4486.750,1249.250,571.5000,220.0000,1.000000
1,11250,365,734929.8,7173335.0,566.2,98.7,0.0,54794.42,242188.8,165068.5,90783.50,40604.25,14288.75,4127.000,1164.000,495.7500,161.5000,1.000000
1,11250,369,734927.4,7173281.0,565.3,99.1,0.0,54798.83,230403.0,145855.5,77217.50,35144.25,12831.75,3753.000,1068.250,399.2500,92.75000,1.000000
1,11250,373,734925.2,7173227.0,565.9,98.1,0.0,54804.62,221050.8,130631.2,66045.50,30035.75,11370.25,3377.250,966.0000,343.0000,34.00000,1.000000
1,11250,377,734923.8,7173172.0,566.9,96.6,0.0,54812.02,216586.5,128825.0,63318.25,27221.75,10067.75,3044.750,875.7500,351.7500,25.50000,1.000000
1,11250,381,734923.0,7173115.5,567.3,94.6,0.0,54816.85,215319.8,139516.5,67586.25,26091.50,8881.500,2727.500,815.0000,385.5000,84.75000,1.000000
1,11250,385,734922.7,7173059.5,567.5,91.9,0.0,54811.98,217400.0,148396.2,69087.75,24628.50,7704.000,2364.750,784.0000,405.5000,151.5000,1.000000
1,11250,389,734922.8,7173003.5,567.3,88.6,0.0,54802.30,213414.5,131004.5,59136.00,21280.50,6535.750,1998.750,767.7500,402.0000,180.0000,1.000000
1,11250,393,734922.9,7172947.5,567.6,87.5,0.0,54800.02,195647.2,96905.25,44371.50,17535.75,5692.750,1756.000,740.5000,379.7500,167.7500,1.000000
1,11250,397,734923.2,7172891.5,568.4,88.7,0.0,54799.90,183842.2,83933.25,39769.75,16755.50,5384.000,1655.250,687.5000,336.7500,140.0000,1.000000
1,11250,401,734923.6,7172835.5,568.7,89.1,0.0,54795.93,188577.0,93798.00,44175.25,18639.50,5387.250,1607.500,618.5000,286.0000,104.7500,1.000000
1,11250,405,734924.1,7172779.5,568.6,89.3,0.0,54793.17,202127.2,104637.0,48540.50,19943.25,5455.250,1562.500,542.0000,237.0000,64.25000,1.000000
1,11250,409,734924.6,7172723.5,568.9,90.3,0.0,54791.48,216979.8,116915.5,51445.00,20086.75,5482.750,1510.750,470.7500,202.7500,38.75000,1.000000
1,11250,413,734925.1,7172668.5,569.4,91.6,0.0,54787.98,232118.8,132559.8,58003.75,20787.50,5645.500,1478.750,447.5000,188.0000,55.25000,1.000000
1,11250,417,734925.4,7172614.5,570.4,93.2,0.0,54779.62,246171.0,151390.2,71252.75,23923.50,6199.250,1488.750,464.2500,183.0000,90.50000,1.000000
1,11250,421,734925.6,7172559.5,571.3,94.7,0.0,54771.40,258322.2,172566.8,87659.25,30045.50,7363.500,1541.500,476.0000,174.2500,103.7500,1.000000
1,11250,425,734925.6,7172503.5,572.1,95.8,0.0,54767.50,267062.5,191403.0,104914.2,39033.75,9395.000,1687.000,466.7500,137.7500,61.00000,1.000000
1,11250,429,734925.4,7172447.5,572.2,95.7,0.0,54765.80,270775.2,201612.0,117040.5,46767.00,11461.50,1903.500,446.7500,84.25000,-34.00000,1.000000
1,11250,433,734925.1,7172391.5,571.8,94.8,0.0,54766.47,264972.8,197513.5,116961.2,48685.25,12554.00,2159.000,469.7500,61.00000,-75.75000,1.000000
1,11250,437,734924.8,7172335.5,572.9,94.2,0.0,54769.27,245509.2,180403.0,107330.8,45945.25,12747.75,2477.250,586.2500,112.7500,-42.50000,1.000000
1,11250,441,734924.8,7172279.5,574.6,93.3,0.0,54774.30,236141.0,172717.8,102139.2,43675.50,12788.75,2924.500,808.0000,227.5000,35.75000,1.000000
1,11250,445,734925.0,7172224.0,573.9,93.3,0.0,54779.73,249602.8,185060.2,108306.8,44869.75,13350.00,3579.250,1126.750,401.0000,133.5000,1.000000
1,11250,449,734925.2,7172170.0,573.5,94.6,0.0,54784.30,259674.5,193240.8,112613.5,46177.75,14416.50,4480.000,1613.250,678.7500,246.7500,1.000000
1,11250,453,734925.5,7172115.5,576.5,95.7,0.0,54788.17,247383.2,178156.5,101722.5,43074.50,15135.25,5497.500,2255.250,1038.750,382.7500,25.78689
1,11250,457,734926.1,7172059.0,579.2,95.8,0.0,54792.35,219720.5,143740.0,81150.00,37215.25,15236.75,6220.500,2762.000,1355.500,516.2500,116.7587
1,11250,461,734926.8,7172003.0,580.1,93.9,0.0,54790.10,188061.0,111490.8,62773.75,30281.00,13435.50,5357.000,2157.000,1078.500,422.5000,109.4792
1,11250,465,734927.6,7171947.0,579.8,94.1,0.0,54791.75,161221.2,92585.75,49621.00,22989.25,9161.500,2652.500,272.2500,-57.00000,-63.75000,1.000000
