Line,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
0,25.0,564.1,734929.38,7170012.50,100.00,2.00,10.00,1.00
0,25.0,554.1,734929.38,7170012.50,100.00,2.00,10.00,1.00
0,25.0,544.1,734929.38,7170012.50,100.00,2.00,10.00,1.00
0,25.0,534.1,734929.38,7170012.50,1050.00,3.02,0.95,-0.02
0,25.0,524.1,734929.38,7170012.50,1366.67,3.14,0.73,-0.14
0,25.0,511.6,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,494.1,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,473.5,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,451.7,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,428.5,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,404.0,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,378.0,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,350.4,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,321.2,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,290.2,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,256.9,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,221.0,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,183.0,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,25.0,142.8,734929.38,7170012.50,2000.00,3.30,0.50,-0.30
0,75.0,564.0,734929.38,7170062.50,100.00,2.00,10.00,1.00
0,75.0,554.0,734929.38,7170062.50,100.00,2.00,10.00,1.00
0,75.0,544.0,734929.38,7170062.50,100.00,2.00,10.00,1.00
0,75.0,534.0,734929.38,7170062.50,100.00,2.00,10.00,1.00
0,75.0,524.0,734929.38,7170062.50,100.00,2.00,10.00,1.00
0,75.0,511.5,734929.38,7170062.50,1050.00,3.02,0.95,-0.02
0,75.0,494.0,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,473.4,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,451.6,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,428.4,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,403.9,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,377.9,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,350.3,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,321.1,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,290.1,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,256.8,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,220.9,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,183.0,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,75.0,142.8,734929.38,7170062.50,2000.00,3.30,0.50,-0.30
0,125.0,564.6,734929.38,7170112.50,100.00,2.00,10.00,1.00
0,125.0,554.6,734929.38,7170112.50,100.00,2.00,10.00,1.00
0,125.0,544.6,734929.38,7170112.50,100.00,2.00,10.00,1.00
0,125.0,534.6,734929.38,7170112.50,100.00,2.00,10.00,1.00
0,125.0,524.6,734929.38,7170112.50,100.00,2.00,10.00,1.00
0,125.0,512.1,734929.38,7170112.50,100.00,2.00,10.00,1.00
0,125.0,494.6,734929.38,7170112.50,1240.00,3.09,0.81,-0.09
0,125.0,474.0,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,452.2,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,429.0,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,404.5,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,378.5,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,350.9,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,321.7,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,290.7,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,257.3,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,221.3,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,183.2,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,125.0,142.9,734929.38,7170112.50,2000.00,3.30,0.50,-0.30
0,175.0,567.0,734929.44,7170162.50,100.00,2.00,10.00,1.00
0,175.0,557.0,734929.44,7170162.50,100.00,2.00,10.00,1.00
0,175.0,547.0,734929.44,7170162.50,100.00,2.00,10.00,1.00
0,175.0,537.0,734929.44,7170162.50,100.00,2.00,10.00,1.00
0,175.0,527.0,734929.44,7170162.50,100.00,2.00,10.00,1.00
0,175.0,514.5,734929.44,7170162.50,100.00,2.00,10.00,1.00
0,175.0,497.0,734929.44,7170162.50,100.00,2.00,10.00,1.00
0,175.0,476.4,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,454.5,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,431.4,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,406.8,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,380.8,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,353.3,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,324.0,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,293.1,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,259.3,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,222.8,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,184.1,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,175.0,143.2,734929.44,7170162.50,2000.00,3.30,0.50,-0.30
0,225.0,568.3,734929.56,7170212.50,100.00,2.00,10.00,1.00
0,225.0,558.3,734929.56,7170212.50,100.00,2.00,10.00,1.00
0,225.0,548.3,734929.56,7170212.50,100.00,2.00,10.00,1.00
0,225.0,538.3,734929.56,7170212.50,100.00,2.00,10.00,1.00
0,225.0,528.3,734929.56,7170212.50,100.00,2.00,10.00,1.00
0,225.0,515.8,734929.56,7170212.50,100.00,2.00,10.00,1.00
0,225.0,498.3,734929.56,7170212.50,100.00,2.00,10.00,1.00
0,225.0,477.7,734929.56,7170212.50,1366.67,3.14,0.73,-0.14
0,225.0,455.9,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,225.0,432.7,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,225.0,408.2,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,225.0,382.2,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,225.0,354.6,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,225.0,325.4,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,225.0,294.4,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,225.0,260.5,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,225.0,223.6,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,225.0,184.6,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,225.0,143.4,734929.56,7170212.50,2000.00,3.30,0.50,-0.30
0,275.0,568.1,734929.62,7170262.50,100.00,2.00,10.00,1.00
0,275.0,558.1,734929.62,7170262.50,100.00,2.00,10.00,1.00
0,275.0,548.1,734929.62,7170262.50,100.00,2.00,10.00,1.00
0,275.0,538.1,734929.62,7170262.50,100.00,2.00,10.00,1.00
0,275.0,528.1,734929.62,7170262.50,100.00,2.00,10.00,1.00
0,275.0,515.6,734929.62,7170262.50,100.00,2.00,10.00,1.00
0,275.0,498.1,734929.62,7170262.50,100.00,2.00,10.00,1.00
0,275.0,477.5,734929.62,7170262.50,1240.00,3.09,0.81,-0.09
0,275.0,455.7,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,275.0,432.5,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,275.0,408.0,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,275.0,382.0,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,275.0,354.4,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,275.0,325.2,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,275.0,294.2,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,275.0,260.4,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,275.0,223.5,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,275.0,184.5,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,275.0,143.3,734929.62,7170262.50,2000.00,3.30,0.50,-0.30
0,325.0,568.2,734929.62,7170312.50,100.00,2.00,10.00,1.00
0,325.0,558.2,734929.62,7170312.50,100.00,2.00,10.00,1.00
0,325.0,548.2,734929.62,7170312.50,100.00,2.00,10.00,1.00
0,325.0,538.2,734929.62,7170312.50,100.00,2.00,10.00,1.00
0,325.0,528.2,734929.62,7170312.50,100.00,2.00,10.00,1.00
0,325.0,515.7,734929.62,7170312.50,100.00,2.00,10.00,1.00
0,325.0,498.2,734929.62,7170312.50,100.00,2.00,10.00,1.00
0,325.0,477.6,734929.62,7170312.50,1620.00,3.21,0.62,-0.21
0,325.0,455.7,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,325.0,432.6,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,325.0,408.0,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,325.0,382.0,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,325.0,354.5,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,325.0,325.2,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,325.0,294.3,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,325.0,260.4,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,325.0,223.5,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,325.0,184.5,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,325.0,143.4,734929.62,7170312.50,2000.00,3.30,0.50,-0.30
0,375.0,568.2,734929.75,7170362.50,100.00,2.00,10.00,1.00
0,375.0,558.2,734929.75,7170362.50,100.00,2.00,10.00,1.00
0,375.0,548.2,734929.75,7170362.50,100.00,2.00,10.00,1.00
0,375.0,538.2,734929.75,7170362.50,100.00,2.00,10.00,1.00
0,375.0,528.2,734929.75,7170362.50,100.00,2.00,10.00,1.00
0,375.0,515.7,734929.75,7170362.50,100.00,2.00,10.00,1.00
0,375.0,498.1,734929.75,7170362.50,480.00,2.68,2.08,0.32
0,375.0,477.5,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,455.7,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,432.6,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,408.0,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,382.0,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,354.5,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,325.2,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,294.3,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,260.4,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,223.5,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,184.5,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,375.0,143.4,734929.75,7170362.50,2000.00,3.30,0.50,-0.30
0,425.0,568.2,734929.81,7170412.50,100.00,2.00,10.00,1.00
0,425.0,558.2,734929.81,7170412.50,100.00,2.00,10.00,1.00
0,425.0,548.2,734929.81,7170412.50,100.00,2.00,10.00,1.00
0,425.0,538.2,734929.81,7170412.50,100.00,2.00,10.00,1.00
0,425.0,528.2,734929.81,7170412.50,100.00,2.00,10.00,1.00
0,425.0,515.7,734929.81,7170412.50,100.00,2.00,10.00,1.00
0,425.0,498.1,734929.81,7170412.50,1240.00,3.09,0.81,-0.09
0,425.0,477.5,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,455.7,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,432.6,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,408.0,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,382.0,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,354.5,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,325.2,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,294.3,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,260.4,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,223.5,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,184.5,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,425.0,143.4,734929.81,7170412.50,2000.00,3.30,0.50,-0.30
0,475.0,568.2,734929.81,7170462.50,100.00,2.00,10.00,1.00
0,475.0,558.2,734929.81,7170462.50,100.00,2.00,10.00,1.00
0,475.0,548.2,734929.81,7170462.50,100.00,2.00,10.00,1.00
0,475.0,538.2,734929.81,7170462.50,100.00,2.00,10.00,1.00
0,475.0,528.2,734929.81,7170462.50,100.00,2.00,10.00,1.00
0,475.0,515.7,734929.81,7170462.50,1050.00,3.02,0.95,-0.02
0,475.0,498.1,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,477.5,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,455.7,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,432.6,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,408.0,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,382.0,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,354.5,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,325.2,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,294.3,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,260.4,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,223.5,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,184.5,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,475.0,143.4,734929.81,7170462.50,2000.00,3.30,0.50,-0.30
0,525.0,568.1,734929.88,7170512.50,100.00,2.00,10.00,1.00
0,525.0,558.1,734929.88,7170512.50,100.00,2.00,10.00,1.00
0,525.0,548.1,734929.88,7170512.50,100.00,2.00,10.00,1.00
0,525.0,538.1,734929.88,7170512.50,100.00,2.00,10.00,1.00
0,525.0,528.1,734929.88,7170512.50,100.00,2.00,10.00,1.00
0,525.0,515.6,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,498.1,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,477.5,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,455.7,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,432.6,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,408.0,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,382.0,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,354.5,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,325.2,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,294.3,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,260.4,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,223.5,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,184.5,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,525.0,143.4,734929.88,7170512.50,2000.00,3.30,0.50,-0.30
0,575.0,568.2,734929.88,7170562.50,100.00,2.00,10.00,1.00
0,575.0,558.2,734929.88,7170562.50,100.00,2.00,10.00,1.00
0,575.0,548.2,734929.88,7170562.50,100.00,2.00,10.00,1.00
0,575.0,538.2,734929.88,7170562.50,100.00,2.00,10.00,1.00
0,575.0,528.2,734929.88,7170562.50,733.33,2.87,1.36,0.13
0,575.0,515.7,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,498.2,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,477.6,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,455.7,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,432.6,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,408.1,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,382.1,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,354.5,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,325.3,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,294.3,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,260.4,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,223.5,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,184.5,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,575.0,143.4,734929.88,7170562.50,2000.00,3.30,0.50,-0.30
0,625.0,568.0,734929.94,7170612.50,100.00,2.00,10.00,1.00
0,625.0,558.0,734929.94,7170612.50,100.00,2.00,10.00,1.00
0,625.0,548.0,734929.94,7170612.50,100.00,2.00,10.00,1.00
0,625.0,538.0,734929.94,7170612.50,100.00,2.00,10.00,1.00
0,625.0,528.0,734929.94,7170612.50,733.33,2.87,1.36,0.13
0,625.0,515.5,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,498.0,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,477.4,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,455.6,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,432.4,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,407.9,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,381.9,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,354.3,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,325.1,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,294.1,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,260.3,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,223.4,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,184.5,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,625.0,143.3,734929.94,7170612.50,2000.00,3.30,0.50,-0.30
0,675.0,569.1,734930.00,7170662.50,100.00,2.00,10.00,1.00
0,675.0,559.1,734930.00,7170662.50,100.00,2.00,10.00,1.00
0,675.0,549.1,734930.00,7170662.50,100.00,2.00,10.00,1.00
0,675.0,539.1,734930.00,7170662.50,100.00,2.00,10.00,1.00
0,675.0,529.1,734930.00,7170662.50,733.33,2.87,1.36,0.13
0,675.0,516.6,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,499.1,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,478.5,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,456.7,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,433.5,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,409.0,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,383.0,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,355.4,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,326.2,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,295.2,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,261.2,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,224.1,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,184.9,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,675.0,143.5,734930.00,7170662.50,2000.00,3.30,0.50,-0.30
0,725.0,571.5,734930.06,7170712.50,100.00,2.00,10.00,1.00
0,725.0,561.5,734930.06,7170712.50,100.00,2.00,10.00,1.00
0,725.0,551.5,734930.06,7170712.50,100.00,2.00,10.00,1.00
0,725.0,541.5,734930.06,7170712.50,100.00,2.00,10.00,1.00
0,725.0,531.5,734930.06,7170712.50,100.00,2.00,10.00,1.00
0,725.0,519.0,734930.06,7170712.50,1525.00,3.18,0.66,-0.18
0,725.0,501.5,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,480.9,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,459.0,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,435.9,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,411.3,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,385.3,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,357.8,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,328.5,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,297.6,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,263.3,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,225.6,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,185.8,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,725.0,143.8,734930.06,7170712.50,2000.00,3.30,0.50,-0.30
0,775.0,572.3,734930.12,7170762.50,100.00,2.00,10.00,1.00
0,775.0,562.3,734930.12,7170762.50,100.00,2.00,10.00,1.00
0,775.0,552.3,734930.12,7170762.50,100.00,2.00,10.00,1.00
0,775.0,542.3,734930.12,7170762.50,100.00,2.00,10.00,1.00
0,775.0,532.3,734930.12,7170762.50,100.00,2.00,10.00,1.00
0,775.0,519.8,734930.12,7170762.50,575.00,2.76,1.74,0.24
0,775.0,502.3,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,481.7,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,459.9,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,436.7,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,412.2,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,386.2,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,358.6,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,329.4,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,298.4,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,264.0,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,226.1,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,186.1,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,775.0,143.9,734930.12,7170762.50,2000.00,3.30,0.50,-0.30
0,825.0,572.2,734930.19,7170812.50,100.00,2.00,10.00,1.00
0,825.0,562.2,734930.19,7170812.50,100.00,2.00,10.00,1.00
0,825.0,552.2,734930.19,7170812.50,100.00,2.00,10.00,1.00
0,825.0,542.2,734930.19,7170812.50,100.00,2.00,10.00,1.00
0,825.0,532.2,734930.19,7170812.50,100.00,2.00,10.00,1.00
0,825.0,519.7,734930.19,7170812.50,100.00,2.00,10.00,1.00
